Step #,Step,Tech,Notes
1,User shares data source + column in chat,Claude Code chat,"Paste a local CSV path (e.g. /Users/.../file.csv) or a public Google Sheets URL + the column name to analyse. No files written."
2,Read source data,Python (pandas) — run by Claude in chat,"Claude reads the source file directly from its original location. No files written to the project folder."
3,Analyse sample & write pretags.json,Claude AI (in chat) + Claude Write tool,"Claude reads the first 100 rows and assigns tags using its own reasoning. File written: pretags.json → /feedback-tagger/pretags.json. Contains: shuffled 100-row sample with suggested tags + initial tag list. Overwritten each time a new column is analysed."
4,Start the app,FastAPI (server.py) + Alpine.js (static/index.html),"Run once in terminal: uvicorn server:app --reload — then open http://localhost:8000. The app calls GET /api/data on load; stage is determined by which files exist: Stage 0 = no pretags.json · Stage 1 = pretags.json present · Stage 2 = run_requested flag present · Stage 3 = tagged_output.csv present."
5,User edits tags — Stage 1,Alpine.js (browser — no page reload),"Rename tags (cascade updates all table rows instantly) · edit individual row tags inline · delete rows to exclude from the AI reference set. All changes live in browser state only. Nothing written to disk until step 6 or 7."
6,Save reference (optional),Alpine.js → POST /api/save_reference → approved_examples.json,"User clicks Save reference. File written: approved_examples.json → /feedback-tagger/approved_examples.json. Contains: final tag list + all remaining table rows as few-shot examples. Can be saved multiple times — each save overwrites the previous version."
7,Run full analysis,Alpine.js → POST /api/run_analysis → approved_examples.json + run_requested,"User clicks Run full analysis. Files written: approved_examples.json (same as step 6) + run_requested (empty flag file, no extension). App moves to Stage 2 (waiting screen). Claude detects run_requested in chat and starts tagger.py."
8,Full analysis runs on entire dataset,Python (tagger.py) + Anthropic API (claude-sonnet-4-6),"Files read: source CSV + approved_examples.json. Tag list and quote–tag pairs in approved_examples.json are used as few-shot reference. Rows sent to Claude API in batches of 20. Requires ANTHROPIC_API_KEY set in terminal. File written when complete: tagged_output.csv → /feedback-tagger/tagged_output.csv. File deleted when complete: run_requested."
9,tagged_output.csv written + app moves to Stage 3,Python (pandas) + browser refresh,"File written: tagged_output.csv. Contains all original columns + a new Tags column. User clicks Check if done in the app — GET /api/data now returns stage 3 because tagged_output.csv exists — app loads results view."
10,User edits results — Stage 3,Alpine.js (browser — no page reload),"Two edit paths: (a) Left pane tag list — rename or delete a tag then click Apply; changes cascade to all rows in browser state and tagged_output.csv is saved immediately via POST /api/save_tags. (b) Right pane table — edit any Tags cell inline, then click Save tag edits to write all rows to tagged_output.csv via POST /api/save_tags. Filter by tag · toggle sample/full view. No page reloads."
11,Download results,Browser → GET /download/...,"Available downloads: /download/tagged_output.csv · /download/approved_examples.json · /download/pretags.json · /download/reference_tags.csv (generated on the fly from approved_examples.json)."
12,Start new analysis (optional),Alpine.js → DELETE /api/clear,"User clicks Clear & start fresh. Files deleted: pretags.json + approved_examples.json + tagged_output.csv + run_requested. Original source file is never touched. App returns to Stage 0."
